,label,site,site.code,sub.site,sub.site.code,transect,trans,site.label,date,season,protection,enforcement,total.mpa.ha,size.notake,yr.creation,age.reserve.yr,rug,lat,lon,d.range.code,depth.range,depth,t.length,t.width,t.area,family ,order,sp.code,sp.rich,sp.length,species,sp.n,data.origin
3145,ADR4CF,ADRASAN,ADR,4,4ADR,C,1004,ADR4CF,,Summer,NO,,,,,,1.31,36.388,30.487,3,08-‹š”,10,25,5,125,Siganidae,Perciformes,SIGR,7,,Siganus.rivulatus,5,Sala - PEW
3146,ADR4CF,ADRASAN,ADR,4,4ADR,C,1004,ADR4CF,,Summer,NO,,,,,,1.31,36.388,30.487,3,08-‹š”,10,25,5,125,Scaridae,Perciformes,SPAR,7,,Sparisoma.cretense,2,Sala - PEW
3148,ADR5AF,ADRASAN,ADR,5,5ADR,A,1005,ADR5AF,,Summer,NO,,,,,,1.12,36.368,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CHROM,8,,Chromis.chromis,20,Sala - PEW
3149,ADR5AF,ADRASAN,ADR,5,5ADR,A,1005,ADR5AF,,Summer,NO,,,,,,1.12,36.368,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CJ,8,,Coris.julis,2,Sala - PEW
3151,ADR5AF,ADRASAN,ADR,5,5ADR,A,1005,ADR5AF,,Summer,NO,,,,,,1.12,36.368,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,DIPV,8,,Diplodus.vulgaris,8,Sala - PEW
3152,ADR5AF,ADRASAN,ADR,5,5ADR,A,1005,ADR5AF,,Summer,NO,,,,,,1.12,36.368,30.487,3,08-‹š”,10,25,5,125,Sparidae,Perciformes,OBLA,8,,Oblada.melanura,20,Sala - PEW
3155,ADR5AF,ADRASAN,ADR,5,5ADR,A,1005,ADR5AF,,Summer,NO,,,,,,1.12,36.368,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,PAVO,8,,Thalassoma.pavo,7,Sala - PEW
3150,ADR5AF,ADRASAN,ADR,5,5ADR,A,1005,ADR5AF,,Summer,NO,,,,,,1.12,36.368,30.487,3,08-‹š”,10,25,5,125,Sparidae,Perciformes,SARGUS,8,,Diplodus.sargus,2,Sala - PEW
3153,ADR5AF,ADRASAN,ADR,5,5ADR,A,1005,ADR5AF,,Summer,NO,,,,,,1.12,36.368,30.487,3,08-‹š”,10,25,5,125,Serranidae,Perciformes,SCRIBA,8,,Serranus.scriba,2,Sala - PEW
3154,ADR5AF,ADRASAN,ADR,5,5ADR,A,1005,ADR5AF,,Summer,NO,,,,,,1.12,36.368,30.487,3,08-‹š”,10,25,5,125,Scaridae,Perciformes,SPAR,8,,Sparisoma.cretense,4,Sala - PEW
3156,ADR5BF,ADRASAN,ADR,5,5ADR,B,1006,ADR5BF,,Summer,NO,,,,,,1.34,36.368,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CHROM,6,,Chromis.chromis,30,Sala - PEW
3157,ADR5BF,ADRASAN,ADR,5,5ADR,B,1006,ADR5BF,,Summer,NO,,,,,,1.34,36.368,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CJ,6,,Coris.julis,2,Sala - PEW
3158,ADR5BF,ADRASAN,ADR,5,5ADR,B,1006,ADR5BF,,Summer,NO,,,,,,1.34,36.368,30.487,3,08-‹š”,10,25,5,125,Sparidae,Perciformes,OBLA,6,,Oblada.melanura,15,Sala - PEW
3163,ADR5BF,ADRASAN,ADR,5,5ADR,B,1006,ADR5BF,,Summer,NO,,,,,,1.34,36.368,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,PAVO,6,,Thalassoma.pavo,3,Sala - PEW
3159,ADR5BF,ADRASAN,ADR,5,5ADR,B,1006,ADR5BF,,Summer,NO,,,,,,1.34,36.368,30.487,3,08-‹š”,10,25,5,125,Holocentridae,Perciformes,RUB,6,,Sargocentron.rubrum,1,Sala - PEW
3160,ADR5BF,ADRASAN,ADR,5,5ADR,B,1006,ADR5BF,,Summer,NO,,,,,,1.34,36.368,30.487,3,08-‹š”,10,25,5,125,Siganidae,Perciformes,SIGL,6,,Siganus.luridus,1,Sala - PEW
3161,ADR5BF,ADRASAN,ADR,5,5ADR,B,1006,ADR5BF,,Summer,NO,,,,,,1.34,36.368,30.487,3,08-‹š”,10,25,5,125,Siganidae,Perciformes,SIGR,6,,Siganus.rivulatus,10,Sala - PEW
3162,ADR5BF,ADRASAN,ADR,5,5ADR,B,1006,ADR5BF,,Summer,NO,,,,,,1.34,36.368,30.487,3,08-‹š”,10,25,5,125,Scaridae,Perciformes,SPAR,6,,Sparisoma.cretense,11,Sala - PEW
3164,ADR5CF,ADRASAN,ADR,5,5ADR,C,1007,ADR5CF,,Summer,NO,,,,,,1.24,36.368,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CHROM,6,,Chromis.chromis,8,Sala - PEW
3165,ADR5CF,ADRASAN,ADR,5,5ADR,C,1007,ADR5CF,,Summer,NO,,,,,,1.24,36.368,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CJ,6,,Coris.julis,4,Sala - PEW
3169,ADR5CF,ADRASAN,ADR,5,5ADR,C,1007,ADR5CF,,Summer,NO,,,,,,1.24,36.368,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,PAVO,6,,Thalassoma.pavo,16,Sala - PEW
3166,ADR5CF,ADRASAN,ADR,5,5ADR,C,1007,ADR5CF,,Summer,NO,,,,,,1.24,36.368,30.487,3,08-‹š”,10,25,5,125,Sparidae,Perciformes,SARGUS,6,,Diplodus.sargus,2,Sala - PEW
3167,ADR5CF,ADRASAN,ADR,5,5ADR,C,1007,ADR5CF,,Summer,NO,,,,,,1.24,36.368,30.487,3,08-‹š”,10,25,5,125,Serranidae,Perciformes,SCRIBA,6,,Serranus.scriba,2,Sala - PEW
3168,ADR5CF,ADRASAN,ADR,5,5ADR,C,1007,ADR5CF,,Summer,NO,,,,,,1.24,36.368,30.487,3,08-‹š”,10,25,5,125,Scaridae,Perciformes,SPAR,6,,Sparisoma.cretense,2,Sala - PEW
